id,nameWithOwner,description,stargazerCount,forkCount,createdAt,updatedAt,isArchived,isFork,homepageUrl,license,topics,languages,openIssues,ownerType
MDEwOlJlcG9zaXRvcnkyNTMyMjI1OTk=,CorentinTh/it-tools,"Collection of handy online tools for developers, with great UX. ",35884,4452,2020-04-05T11:50:24Z,2025-12-29T07:31:21Z,False,False,https://it-tools.tech,GNU General Public License v3.0,"vuejs, tools, tool, converter, website, frontend, developer-tools, developer-productivity, productivity, javascript","JavaScript, Vue, HTML, TypeScript, Dockerfile, EJS",439,User
MDEwOlJlcG9zaXRvcnkxMTg4MjgzMjk=,knative/serving,"Kubernetes-based, scale-to-zero, request-driven compute",5949,1206,2018-01-24T22:07:44Z,2025-12-29T03:20:00Z,False,False,https://knative.dev/docs/serving/,Apache License 2.0,"serverless, app, container, function, kubernetes, knative, scale, autoscaler, networking, developer-productivity","Go, Shell",162,Organization
R_kgDOLJR_GQ,logdyhq/logdy-core,"Realtime log viewer with web UI, tail -f for logs with a web interface browser.",2037,59,2024-01-24T23:12:45Z,2025-12-29T05:48:12Z,False,False,https://logdy.dev,Apache License 2.0,"log, logger, logging, logging-library, logging-server, logs, developer-experience, log-viewer, logs-view, logviewer","Go, Dockerfile",29,Organization
MDEwOlJlcG9zaXRvcnkxMjQ5NTE4MjI=,knative/eventing,Event-driven application platform for Kubernetes,1526,618,2018-03-12T21:08:29Z,2025-12-22T13:17:10Z,False,False,https://knative.dev/docs/eventing,Apache License 2.0,"kubernetes, events, binding, knative, eventing, developer-productivity, event-driven, cloudevents","Go, Shell",97,Organization
R_kgDOKtkjww,beam-cloud/beta9,"Ultrafast serverless GPU inference, sandboxes, and background jobs",1518,133,2023-11-15T00:53:21Z,2025-12-28T17:13:28Z,False,False,https://beam.cloud,GNU Affero General Public License v3.0,"gpu, ml-platform, cuda, fine-tuning, generative-ai, large-language-models, llm, distributed-computing, llm-inference, self-hosted","Makefile, Shell, Python, Go, HCL, Smarty, JavaScript, Dockerfile",6,Organization
MDEwOlJlcG9zaXRvcnkyNjMwMTg4OTk=,WebDevsCom/webDevsCom,:heart_eyes: All kinds of resources for Developers :trident: in one place.,721,90,2020-05-11T11:08:56Z,2025-12-19T07:10:28Z,False,False,https://webdevscom.github.io/,MIT License,"bulma, resources, design, developer-tools, developer-productivity, developer-portfolio, application, coding, javascript-tools, javascript","JavaScript, CSS, HTML, Shell",4,Organization
R_kgDONNnzEw,stacklok/codegate,"CodeGate: Security, Workspaces and Multiplexing for AI Agentic Frameworks",704,91,2024-11-11T12:53:47Z,2025-12-24T17:07:54Z,True,False,https://codegate.ai,Apache License 2.0,"ai, artificial-intelligence, ai-gateway, claude, cline, codegen, copilot, developer-productivity, developer-tools, generative-ai","Shell, Python, Makefile, Dockerfile, Mako",106,Organization
R_kgDOG5he5A,faros-ai/faros-community-edition,"BI, API and Automation layer for your Engineering Operations data",458,63,2022-02-24T01:47:12Z,2025-12-21T23:58:34Z,False,False,https://community.faros.ai,Apache License 2.0,"devops, analytics, metrics, space, dora, business-intelligence, cicd, incident-management, version-control, tasks-management","Shell, Dockerfile, JavaScript, TypeScript, Makefile, HTML",1,Organization
R_kgDOGtE9xQ,watermelontools/watermelon-vscode,🍉  VS Code Extension to enrich files of code with code context,433,42,2022-01-20T01:59:09Z,2025-12-06T15:17:39Z,False,False,https://www.watermelontools.com/,Apache License 2.0,"developer-tools, developer-productivity, developer-experience, search-engine, git, github, visual-studio-extension, vscode, code-review, jira",TypeScript,4,Organization
R_kgDOQNfRWQ,kaitranntt/ccs,"Switch between multiple Claude accounts and AI models (GLM, Kimi) instantly. Multi-account support with concurrent sessions + settings-based model switching.",416,45,2025-11-01T21:01:53Z,2025-12-29T07:23:04Z,False,False,https://ccs.kaitran.ca/,MIT License,"bash-script, claude, claude-cli, ai-tools, claude-code, cli-tool, glm, profile-manager, multi-account, concurrent-sessions","Shell, PowerShell, JavaScript, TypeScript, HTML, CSS",11,User
